,postal_code,data_df1,Children in each neighbor,Children Points,data_df2,Single parents,Single parents Points,Unnamed: 0,data,After-tax Income,After-tax Income Rank Score,Unnamed: 0_df4,data_df4,Number of bachlors degreess,Education Score,Unnamed: 0_df5,data_df5,value,Score,mobility_score,final score
67,M5V,2021A0011M5V - Children - Counts - Total,5705.0,29.0,2021A0011M5V - Total one-parent families - Counts - Total,1340.0,45.0,66.0,2021A0011M5V - Median after-tax income in 2020 among recipients ($) - Counts - Total,54000.0,92.0,66.0,2021A0011M5V - Bachelor's degree or higher - Counts - Total,39245.0,95.0,68,2021A0011M5V - Movers - Counts - Total,21160.0,95,95,81.55
3,M2N,2021A0011M2N - Children - Counts - Total,17785.0,93.0,2021A0011M2N - Total one-parent families - Counts - Total,3355.0,90.0,22.0,2021A0011M2N - Median after-tax income in 2020 among recipients ($) - Counts - Total,36400.0,47.0,22.0,2021A0011M2N - Bachelor's degree or higher - Counts - Total,39350.0,96.0,22,2021A0011M2N - Movers - Counts - Total,14470.0,94,94,77.9
35,M6P,2021A0011M6P - Children - Counts - Total,9180.0,61.0,2021A0011M6P - Total one-parent families - Counts - Total,1660.0,56.0,78.0,2021A0011M6P - Median after-tax income in 2020 among recipients ($) - Counts - Total,42800.0,71.0,78.0,2021A0011M6P - Bachelor's degree or higher - Counts - Total,18145.0,91.0,82,2021A0011M6P - Movers - Counts - Total,5835.0,84,84,77.05
32,M6S,2021A0011M6S - Children - Counts - Total,10095.0,64.0,2021A0011M6S - Total one-parent families - Counts - Total,1500.0,50.0,80.0,2021A0011M6S - Median after-tax income in 2020 among recipients ($) - Counts - Total,49200.0,83.0,80.0,2021A0011M6S - Bachelor's degree or higher - Counts - Total,15230.0,85.0,84,2021A0011M6S - Movers - Counts - Total,3190.0,55,55,76.39999999999999
58,M4S,2021A0011M4S - Children - Counts - Total,6360.0,38.0,2021A0011M4S - Total one-parent families - Counts - Total,1055.0,34.0,47.0,2021A0011M4S - Median after-tax income in 2020 among recipients ($) - Counts - Total,47600.0,80.0,47.0,2021A0011M4S - Bachelor's degree or higher - Counts - Total,16940.0,88.0,47,2021A0011M4S - Movers - Counts - Total,6900.0,89,89,75.1
38,M8V,2021A0011M8V - Children - Counts - Total,8915.0,58.0,2021A0011M8V - Total one-parent families - Counts - Total,2120.0,73.0,81.0,2021A0011M8V - Median after-tax income in 2020 among recipients ($) - Counts - Total,40800.0,64.0,81.0,2021A0011M8V - Bachelor's degree or higher - Counts - Total,17070.0,89.0,88,2021A0011M8V - Movers - Counts - Total,6885.0,88,88,74.7
39,M5A,2021A0011M5A - Children - Counts - Total,8745.0,57.0,2021A0011M5A - Total one-parent families - Counts - Total,2395.0,79.0,53.0,2021A0011M5A - Median after-tax income in 2020 among recipients ($) - Counts - Total,39200.0,58.0,53.0,2021A0011M5A - Bachelor's degree or higher - Counts - Total,21690.0,93.0,53,2021A0011M5A - Movers - Counts - Total,10250.0,92,92,74.55
2,M2J,2021A0011M2J - Children - Counts - Total,17845.0,94.0,2021A0011M2J - Total one-parent families - Counts - Total,3295.0,89.0,18.0,2021A0011M2J - Median after-tax income in 2020 among recipients ($) - Counts - Total,33200.0,35.0,18.0,2021A0011M2J - Bachelor's degree or higher - Counts - Total,24985.0,94.0,18,2021A0011M2J - Movers - Counts - Total,9095.0,91,91,72.8
29,M9A,2021A0011M9A - Children - Counts - Total,10185.0,67.0,2021A0011M9A - Total one-parent families - Counts - Total,1825.0,62.0,86.0,2021A0011M9A - Median after-tax income in 2020 among recipients ($) - Counts - Total,41200.0,65.0,86.0,2021A0011M9A - Bachelor's degree or higher - Counts - Total,14425.0,83.0,93,2021A0011M9A - Movers - Counts - Total,4525.0,74,74,72.35
13,M4C,2021A0011M4C - Children - Counts - Total,13715.0,83.0,2021A0011M4C - Total one-parent families - Counts - Total,2460.0,80.0,36.0,2021A0011M4C - Median after-tax income in 2020 among recipients ($) - Counts - Total,36400.0,47.0,36.0,2021A0011M4C - Bachelor's degree or higher - Counts - Total,15735.0,87.0,36,2021A0011M4C - Movers - Counts - Total,5220.0,81,81,71.44999999999999
34,M5M,2021A0011M5M - Children - Counts - Total,9265.0,62.0,2021A0011M5M - Total one-parent families - Counts - Total,855.0,29.0,60.0,2021A0011M5M - Median after-tax income in 2020 among recipients ($) - Counts - Total,52400.0,88.0,60.0,2021A0011M5M - Bachelor's degree or higher - Counts - Total,12470.0,72.0,62,2021A0011M5M - Movers - Counts - Total,1985.0,26,26,69.35
33,M4L,2021A0011M4L - Children - Counts - Total,9330.0,63.0,2021A0011M4L - Total one-parent families - Counts - Total,1515.0,51.0,42.0,2021A0011M4L - Median after-tax income in 2020 among recipients ($) - Counts - Total,45200.0,77.0,42.0,2021A0011M4L - Bachelor's degree or higher - Counts - Total,12225.0,69.0,42,2021A0011M4L - Movers - Counts - Total,3870.0,62,62,69.3
78,M5R,2021A0011M5R - Children - Counts - Total,3865.0,18.0,2021A0011M5R - Total one-parent families - Counts - Total,735.0,23.0,63.0,2021A0011M5R - Median after-tax income in 2020 among recipients ($) - Counts - Total,46400.0,79.0,63.0,2021A0011M5R - Bachelor's degree or higher - Counts - Total,14920.0,84.0,65,2021A0011M5R - Movers - Counts - Total,4780.0,77,77,68.6
31,M6H,2021A0011M6H - Children - Counts - Total,10100.0,65.0,2021A0011M6H - Total one-parent families - Counts - Total,1980.0,66.0,72.0,2021A0011M6H - Median after-tax income in 2020 among recipients ($) - Counts - Total,36400.0,47.0,72.0,2021A0011M6H - Bachelor's degree or higher - Counts - Total,15515.0,86.0,76,2021A0011M6H - Movers - Counts - Total,5840.0,85,85,68.1
17,M3H,2021A0011M3H - Children - Counts - Total,12305.0,79.0,2021A0011M3H - Total one-parent families - Counts - Total,1995.0,68.0,28.0,2021A0011M3H - Median after-tax income in 2020 among recipients ($) - Counts - Total,36800.0,48.0,28.0,2021A0011M3H - Bachelor's degree or higher - Counts - Total,13965.0,80.0,28,2021A0011M3H - Movers - Counts - Total,4830.0,78,78,67.85
56,M6K,2021A0011M6K - Children - Counts - Total,6745.0,40.0,2021A0011M6K - Total one-parent families - Counts - Total,1710.0,59.0,74.0,2021A0011M6K - Median after-tax income in 2020 among recipients ($) - Counts - Total,38800.0,52.0,74.0,2021A0011M6K - Bachelor's degree or higher - Counts - Total,17215.0,90.0,78,2021A0011M6K - Movers - Counts - Total,8955.0,90,90,67.64999999999999
63,M6J,2021A0011M6J - Children - Counts - Total,5910.0,33.0,2021A0011M6J - Total one-parent families - Counts - Total,1295.0,43.0,73.0,2021A0011M6J - Median after-tax income in 2020 among recipients ($) - Counts - Total,41600.0,67.0,73.0,2021A0011M6J - Bachelor's degree or higher - Counts - Total,14095.0,81.0,77,2021A0011M6J - Movers - Counts - Total,5950.0,86,86,67.49999999999999
27,M9B,2021A0011M9B - Children - Counts - Total,10625.0,69.0,2021A0011M9B - Total one-parent families - Counts - Total,1555.0,53.0,87.0,2021A0011M9B - Median after-tax income in 2020 among recipients ($) - Counts - Total,42000.0,68.0,87.0,2021A0011M9B - Bachelor's degree or higher - Counts - Total,12120.0,68.0,94,2021A0011M9B - Movers - Counts - Total,2880.0,44,44,65.0
84,M4Y,2021A0011M4Y - Children - Counts - Total,2845.0,12.0,2021A0011M4Y - Total one-parent families - Counts - Total,780.0,26.0,52.0,2021A0011M4Y - Median after-tax income in 2020 among recipients ($) - Counts - Total,39200.0,58.0,52.0,2021A0011M4Y - Bachelor's degree or higher - Counts - Total,20815.0,92.0,52,2021A0011M4Y - Movers - Counts - Total,10910.0,93,93,64.89999999999999
21,M9C,2021A0011M9C - Children - Counts - Total,11760.0,75.0,2021A0011M9C - Total one-parent families - Counts - Total,2185.0,74.0,88.0,2021A0011M9C - Median after-tax income in 2020 among recipients ($) - Counts - Total,39200.0,58.0,88.0,2021A0011M9C - Bachelor's degree or higher - Counts - Total,11905.0,67.0,95,2021A0011M9C - Movers - Counts - Total,3215.0,56,56,64.3
91,M5J,2021A0011M5J - Children - Counts - Total,1775.0,5.0,2021A0011M5J - Total one-parent families - Counts - Total,365.0,8.0,59.0,2021A0011M5J - Median after-tax income in 2020 among recipients ($) - Counts - Total,54000.0,92.0,59.0,2021A0011M5J - Bachelor's degree or higher - Counts - Total,11410.0,65.0,59,2021A0011M5J - Movers - Counts - Total,5150.0,80,80,64.1
75,M4P,2021A0011M4P - Children - Counts - Total,4505.0,21.0,2021A0011M4P - Total one-parent families - Counts - Total,1030.0,31.0,45.0,2021A0011M4P - Median after-tax income in 2020 among recipients ($) - Counts - Total,42400.0,69.0,45.0,2021A0011M4P - Bachelor's degree or higher - Counts - Total,13115.0,74.0,45,2021A0011M4P - Movers - Counts - Total,6030.0,87,87,63.45
47,M4E,2021A0011M4E - Children - Counts - Total,7635.0,49.0,2021A0011M4E - Total one-parent families - Counts - Total,1080.0,36.0,37.0,2021A0011M4E - Median after-tax income in 2020 among recipients ($) - Counts - Total,48800.0,82.0,37.0,2021A0011M4E - Bachelor's degree or higher - Counts - Total,11150.0,64.0,37,2021A0011M4E - Movers - Counts - Total,2330.0,31,31,63.35
28,M4J,2021A0011M4J - Children - Counts - Total,10620.0,68.0,2021A0011M4J - Total one-parent families - Counts - Total,1795.0,61.0,40.0,2021A0011M4J - Median after-tax income in 2020 among recipients ($) - Counts - Total,39200.0,58.0,40.0,2021A0011M4J - Bachelor's degree or higher - Counts - Total,12370.0,71.0,40,2021A0011M4J - Movers - Counts - Total,2895.0,46,46,62.99999999999999
0,M1B,2021A0011M1B - Children - Counts - Total,24745.0,96.0,2021A0011M1B - Total one-parent families - Counts - Total,4590.0,96.0,0.0,2021A0011M1B - Median after-tax income in 2020 among recipients ($) - Counts - Total,31600.0,19.0,0.0,2021A0011M1B - Bachelor's degree or higher - Counts - Total,14160.0,82.0,0,2021A0011M1B - Movers - Counts - Total,5625.0,82,82,62.75
51,M6G,2021A0011M6G - Children - Counts - Total,7135.0,45.0,2021A0011M6G - Total one-parent families - Counts - Total,1315.0,44.0,71.0,2021A0011M6G - Median after-tax income in 2020 among recipients ($) - Counts - Total,39200.0,58.0,71.0,2021A0011M6G - Bachelor's degree or higher - Counts - Total,13140.0,76.0,75,2021A0011M6G - Movers - Counts - Total,4330.0,68,68,62.64999999999999
