,postal_code,data,Number of bachlors degreess,Education Score
22,M2N,2021A0011M2N - Bachelor's degree or higher - Counts - Total,39350,96
66,M5V,2021A0011M5V - Bachelor's degree or higher - Counts - Total,39245,95
18,M2J,2021A0011M2J - Bachelor's degree or higher - Counts - Total,24985,94
53,M5A,2021A0011M5A - Bachelor's degree or higher - Counts - Total,21690,93
52,M4Y,2021A0011M4Y - Bachelor's degree or higher - Counts - Total,20815,92
78,M6P,2021A0011M6P - Bachelor's degree or higher - Counts - Total,18145,91
74,M6K,2021A0011M6K - Bachelor's degree or higher - Counts - Total,17215,90
81,M8V,2021A0011M8V - Bachelor's degree or higher - Counts - Total,17070,89
47,M4S,2021A0011M4S - Bachelor's degree or higher - Counts - Total,16940,88
36,M4C,2021A0011M4C - Bachelor's degree or higher - Counts - Total,15735,87
72,M6H,2021A0011M6H - Bachelor's degree or higher - Counts - Total,15515,86
80,M6S,2021A0011M6S - Bachelor's degree or higher - Counts - Total,15230,85
63,M5R,2021A0011M5R - Bachelor's degree or higher - Counts - Total,14920,84
86,M9A,2021A0011M9A - Bachelor's degree or higher - Counts - Total,14425,83
0,M1B,2021A0011M1B - Bachelor's degree or higher - Counts - Total,14160,82
73,M6J,2021A0011M6J - Bachelor's degree or higher - Counts - Total,14095,81
28,M3H,2021A0011M3H - Bachelor's degree or higher - Counts - Total,13965,80
24,M2R,2021A0011M2R - Bachelor's degree or higher - Counts - Total,13725,79
21,M2M,2021A0011M2M - Bachelor's degree or higher - Counts - Total,13715,78
15,M1W,2021A0011M1W - Bachelor's degree or higher - Counts - Total,13180,77
71,M6G,2021A0011M6G - Bachelor's degree or higher - Counts - Total,13140,76
19,M2K,2021A0011M2K - Bachelor's degree or higher - Counts - Total,13120,75
45,M4P,2021A0011M4P - Bachelor's degree or higher - Counts - Total,13115,74
41,M4K,2021A0011M4K - Bachelor's degree or higher - Counts - Total,12900,73
60,M5M,2021A0011M5M - Bachelor's degree or higher - Counts - Total,12470,72
27,M3C,2021A0011M3C - Bachelor's degree or higher - Counts - Total,12370,71
40,M4J,2021A0011M4J - Bachelor's degree or higher - Counts - Total,12370,71
42,M4L,2021A0011M4L - Bachelor's degree or higher - Counts - Total,12225,69
87,M9B,2021A0011M9B - Bachelor's degree or higher - Counts - Total,12120,68
88,M9C,2021A0011M9C - Bachelor's degree or higher - Counts - Total,11905,67
10,M1P,2021A0011M1P - Bachelor's degree or higher - Counts - Total,11585,66
59,M5J,2021A0011M5J - Bachelor's degree or higher - Counts - Total,11410,65
1,M1C,2021A0011M1C - Bachelor's degree or higher - Counts - Total,11150,64
37,M4E,2021A0011M4E - Bachelor's degree or higher - Counts - Total,11150,64
2,M1E,2021A0011M1E - Bachelor's degree or higher - Counts - Total,11120,62
49,M4V,2021A0011M4V - Bachelor's degree or higher - Counts - Total,10760,61
14,M1V,2021A0011M1V - Bachelor's degree or higher - Counts - Total,10700,60
6,M1K,2021A0011M1K - Bachelor's degree or higher - Counts - Total,10665,59
62,M5P,2021A0011M5P - Bachelor's degree or higher - Counts - Total,10595,58
25,M3A,2021A0011M3A - Bachelor's degree or higher - Counts - Total,10585,57
43,M4M,2021A0011M4M - Bachelor's degree or higher - Counts - Total,10395,56
12,M1S,2021A0011M1S - Bachelor's degree or higher - Counts - Total,10320,55
69,M6C,2021A0011M6C - Bachelor's degree or higher - Counts - Total,10060,54
54,M5B,2021A0011M5B - Bachelor's degree or higher - Counts - Total,9925,53
