,postal_code,data,value
22,M2N,2021A0011M2N - Bachelor's degree or higher - Counts - Total,39350.0
68,M5V,2021A0011M5V - Bachelor's degree or higher - Counts - Total,39245.0
69,M5W,2021A0011M5V - Bachelor's degree or higher - Counts - Total,39245.0
70,M5X,2021A0011M5V - Bachelor's degree or higher - Counts - Total,39245.0
18,M2J,2021A0011M2J - Bachelor's degree or higher - Counts - Total,24985.0
53,M5A,2021A0011M5A - Bachelor's degree or higher - Counts - Total,21690.0
52,M4Y,2021A0011M4Y - Bachelor's degree or higher - Counts - Total,20815.0
82,M6P,2021A0011M6P - Bachelor's degree or higher - Counts - Total,18145.0
78,M6K,2021A0011M6K - Bachelor's degree or higher - Counts - Total,17215.0
88,M8V,2021A0011M8V - Bachelor's degree or higher - Counts - Total,17070.0
47,M4S,2021A0011M4S - Bachelor's degree or higher - Counts - Total,16940.0
36,M4C,2021A0011M4C - Bachelor's degree or higher - Counts - Total,15735.0
76,M6H,2021A0011M6H - Bachelor's degree or higher - Counts - Total,15515.0
84,M6S,2021A0011M6S - Bachelor's degree or higher - Counts - Total,15230.0
65,M5R,2021A0011M5R - Bachelor's degree or higher - Counts - Total,14920.0
93,M9A,2021A0011M9A - Bachelor's degree or higher - Counts - Total,14425.0
0,M1B,2021A0011M1B - Bachelor's degree or higher - Counts - Total,14160.0
77,M6J,2021A0011M6J - Bachelor's degree or higher - Counts - Total,14095.0
28,M3H,2021A0011M3H - Bachelor's degree or higher - Counts - Total,13965.0
24,M2R,2021A0011M2R - Bachelor's degree or higher - Counts - Total,13725.0
21,M2M,2021A0011M2M - Bachelor's degree or higher - Counts - Total,13715.0
15,M1W,2021A0011M1W - Bachelor's degree or higher - Counts - Total,13180.0
75,M6G,2021A0011M6G - Bachelor's degree or higher - Counts - Total,13140.0
19,M2K,2021A0011M2K - Bachelor's degree or higher - Counts - Total,13120.0
45,M4P,2021A0011M4P - Bachelor's degree or higher - Counts - Total,13115.0
41,M4K,2021A0011M4K - Bachelor's degree or higher - Counts - Total,12900.0
62,M5M,2021A0011M5M - Bachelor's degree or higher - Counts - Total,12470.0
27,M3C,2021A0011M3C - Bachelor's degree or higher - Counts - Total,12370.0
40,M4J,2021A0011M4J - Bachelor's degree or higher - Counts - Total,12370.0
42,M4L,2021A0011M4L - Bachelor's degree or higher - Counts - Total,12225.0
94,M9B,2021A0011M9B - Bachelor's degree or higher - Counts - Total,12120.0
95,M9C,2021A0011M9C - Bachelor's degree or higher - Counts - Total,11905.0
10,M1P,2021A0011M1P - Bachelor's degree or higher - Counts - Total,11585.0
