,postal_code,data,value,Score
68,M5V,2021A0011M5V - Movers - Counts - Total,21160.0,95
69,M5W,2021A0011M5V - Movers - Counts - Total,21160.0,95
70,M5X,2021A0011M5V - Movers - Counts - Total,21160.0,95
22,M2N,2021A0011M2N - Movers - Counts - Total,14470.0,94
52,M4Y,2021A0011M4Y - Movers - Counts - Total,10910.0,93
53,M5A,2021A0011M5A - Movers - Counts - Total,10250.0,92
18,M2J,2021A0011M2J - Movers - Counts - Total,9095.0,91
78,M6K,2021A0011M6K - Movers - Counts - Total,8955.0,90
47,M4S,2021A0011M4S - Movers - Counts - Total,6900.0,89
88,M8V,2021A0011M8V - Movers - Counts - Total,6885.0,88
45,M4P,2021A0011M4P - Movers - Counts - Total,6030.0,87
77,M6J,2021A0011M6J - Movers - Counts - Total,5950.0,86
76,M6H,2021A0011M6H - Movers - Counts - Total,5840.0,85
82,M6P,2021A0011M6P - Movers - Counts - Total,5835.0,84
54,M5B,2021A0011M5B - Movers - Counts - Total,5775.0,83
0,M1B,2021A0011M1B - Movers - Counts - Total,5625.0,82
36,M4C,2021A0011M4C - Movers - Counts - Total,5220.0,81
59,M5J,2021A0011M5J - Movers - Counts - Total,5150.0,80
60,M5K,2021A0011M5J - Movers - Counts - Total,5150.0,80
61,M5L,2021A0011M5J - Movers - Counts - Total,5150.0,80
66,M5S,2021A0011M5S - Movers - Counts - Total,4880.0,79
28,M3H,2021A0011M3H - Movers - Counts - Total,4830.0,78
65,M5R,2021A0011M5R - Movers - Counts - Total,4780.0,77
19,M2K,2021A0011M2K - Movers - Counts - Total,4755.0,76
21,M2M,2021A0011M2M - Movers - Counts - Total,4665.0,75
93,M9A,2021A0011M9A - Movers - Counts - Total,4525.0,74
101,M9V,2021A0011M9V - Movers - Counts - Total,4480.0,73
27,M3C,2021A0011M3C - Movers - Counts - Total,4440.0,72
15,M1W,2021A0011M1W - Movers - Counts - Total,4425.0,71
10,M1P,2021A0011M1P - Movers - Counts - Total,4425.0,71
2,M1E,2021A0011M1E - Movers - Counts - Total,4370.0,70
24,M2R,2021A0011M2R - Movers - Counts - Total,4365.0,69
75,M6G,2021A0011M6G - Movers - Counts - Total,4330.0,68
14,M1V,2021A0011M1V - Movers - Counts - Total,4325.0,67
6,M1K,2021A0011M1K - Movers - Counts - Total,4050.0,66
12,M1S,2021A0011M1S - Movers - Counts - Total,4035.0,65
74,M6E,2021A0011M6E - Movers - Counts - Total,3905.0,64
56,M5E,2021A0011M5E - Movers - Counts - Total,3885.0,63
42,M4L,2021A0011M4L - Movers - Counts - Total,3870.0,62
43,M4M,2021A0011M4M - Movers - Counts - Total,3770.0,61
67,M5T,2021A0011M5T - Movers - Counts - Total,3700.0,60
57,M5G,2021A0011M5G - Movers - Counts - Total,3490.0,59
7,M1L,2021A0011M1L - Movers - Counts - Total,3385.0,58
13,M1T,2021A0011M1T - Movers - Counts - Total,3330.0,57
95,M9C,2021A0011M9C - Movers - Counts - Total,3215.0,56
84,M6S,2021A0011M6S - Movers - Counts - Total,3190.0,55
102,M9W,2021A0011M9W - Movers - Counts - Total,3165.0,54
25,M3A,2021A0011M3A - Movers - Counts - Total,3155.0,53
80,M6M,2021A0011M6M - Movers - Counts - Total,3105.0,52
81,M6N,2021A0011M6N - Movers - Counts - Total,3080.0,51
29,M3J,2021A0011M3J - Movers - Counts - Total,3075.0,50
50,M4W,2021A0011M4W - Movers - Counts - Total,3045.0,49
41,M4K,2021A0011M4K - Movers - Counts - Total,2990.0,48
3,M1G,2021A0011M1G - Movers - Counts - Total,2930.0,47
40,M4J,2021A0011M4J - Movers - Counts - Total,2895.0,46
5,M1J,2021A0011M1J - Movers - Counts - Total,2885.0,45
94,M9B,2021A0011M9B - Movers - Counts - Total,2880.0,44
100,M9R,2021A0011M9R - Movers - Counts - Total,2860.0,43
4,M1H,2021A0011M1H - Movers - Counts - Total,2835.0,42
49,M4V,2021A0011M4V - Movers - Counts - Total,2825.0,41
51,M4X,2021A0011M4X - Movers - Counts - Total,2735.0,40
33,M3N,2021A0011M3N - Movers - Counts - Total,2620.0,39
83,M6R,2021A0011M6R - Movers - Counts - Total,2610.0,38
11,M1R,2021A0011M1R - Movers - Counts - Total,2585.0,37
1,M1C,2021A0011M1C - Movers - Counts - Total,2535.0,36
71,M6A,2021A0011M6A - Movers - Counts - Total,2450.0,35
64,M5P,2021A0011M5P - Movers - Counts - Total,2425.0,34
72,M6B,2021A0011M6B - Movers - Counts - Total,2400.0,33
91,M8Y,2021A0011M8Y - Movers - Counts - Total,2350.0,32
17,M2H,2021A0011M2H - Movers - Counts - Total,2350.0,32
37,M4E,2021A0011M4E - Movers - Counts - Total,2330.0,31
89,M8W,2021A0011M8W - Movers - Counts - Total,2290.0,30
8,M1M,2021A0011M1M - Movers - Counts - Total,2210.0,29
9,M1N,2021A0011M1N - Movers - Counts - Total,2190.0,28
73,M6C,2021A0011M6C - Movers - Counts - Total,2150.0,27
62,M5M,2021A0011M5M - Movers - Counts - Total,1985.0,26
38,M4G,2021A0011M4G - Movers - Counts - Total,1940.0,25
97,M9M,2021A0011M9M - Movers - Counts - Total,1895.0,24
98,M9N,2021A0011M9N - Movers - Counts - Total,1870.0,23
92,M8Z,2021A0011M8Z - Movers - Counts - Total,1865.0,22
32,M3M,2021A0011M3M - Movers - Counts - Total,1805.0,21
35,M4B,2021A0011M4B - Movers - Counts - Total,1720.0,20
44,M4N,2021A0011M4N - Movers - Counts - Total,1715.0,19
46,M4R,2021A0011M4R - Movers - Counts - Total,1685.0,18
63,M5N,2021A0011M5N - Movers - Counts - Total,1650.0,17
99,M9P,2021A0011M9P - Movers - Counts - Total,1495.0,16
31,M3L,2021A0011M3L - Movers - Counts - Total,1425.0,15
39,M4H,2021A0011M4H - Movers - Counts - Total,1400.0,14
58,M5H,2021A0011M5H - Movers - Counts - Total,1380.0,13
34,M4A,2021A0011M4A - Movers - Counts - Total,1305.0,12
48,M4T,2021A0011M4T - Movers - Counts - Total,1230.0,11
79,M6L,2021A0011M6L - Movers - Counts - Total,1220.0,10
26,M3B,2021A0011M3B - Movers - Counts - Total,1210.0,9
30,M3K,2021A0011M3K - Movers - Counts - Total,1140.0,8
96,M9L,2021A0011M9L - Movers - Counts - Total,1055.0,7
20,M2L,2021A0011M2L - Movers - Counts - Total,1045.0,6
90,M8X,2021A0011M8X - Movers - Counts - Total,1030.0,5
23,M2P,2021A0011M2P - Movers - Counts - Total,860.0,4
55,M5C,2021A0011M5C - Movers - Counts - Total,730.0,3
16,M1X,2021A0011M1X - Movers - Counts - Total,720.0,2
85,M7A,2021A0011M7A - Movers - Counts - Total,0.0,1
87,M7Y,2021A0011M7A - Movers - Counts - Total,0.0,1
86,M7R,2021A0011M7A - Movers - Counts - Total,0.0,1
