,postal_code,data,value,Score
22,M2N,2021A0011M2N - Non-movers - Counts - Total,59225.0,95
0,M1B,2021A0011M1B - Non-movers - Counts - Total,59145.0,94
18,M2J,2021A0011M2J - Non-movers - Counts - Total,51585.0,93
101,M9V,2021A0011M9V - Non-movers - Counts - Total,48560.0,92
14,M1V,2021A0011M1V - Non-movers - Counts - Total,45655.0,91
6,M1K,2021A0011M1K - Non-movers - Counts - Total,43200.0,90
2,M1E,2021A0011M1E - Non-movers - Counts - Total,42740.0,89
15,M1W,2021A0011M1W - Non-movers - Counts - Total,42150.0,88
36,M4C,2021A0011M4C - Non-movers - Counts - Total,40330.0,87
10,M1P,2021A0011M1P - Non-movers - Counts - Total,39075.0,86
80,M6M,2021A0011M6M - Non-movers - Counts - Total,38100.0,85
70,M5X,2021A0011M5V - Non-movers - Counts - Total,37820.0,84
69,M5W,2021A0011M5V - Non-movers - Counts - Total,37820.0,84
68,M5V,2021A0011M5V - Non-movers - Counts - Total,37820.0,84
33,M3N,2021A0011M3N - Non-movers - Counts - Total,37410.0,83
102,M9W,2021A0011M9W - Non-movers - Counts - Total,37165.0,82
76,M6H,2021A0011M6H - Non-movers - Counts - Total,36890.0,81
53,M5A,2021A0011M5A - Non-movers - Counts - Total,36815.0,80
81,M6N,2021A0011M6N - Non-movers - Counts - Total,36510.0,79
88,M8V,2021A0011M8V - Non-movers - Counts - Total,36260.0,78
24,M2R,2021A0011M2R - Non-movers - Counts - Total,35515.0,77
95,M9C,2021A0011M9C - Non-movers - Counts - Total,34455.0,76
27,M3C,2021A0011M3C - Non-movers - Counts - Total,34455.0,76
5,M1J,2021A0011M1J - Non-movers - Counts - Total,33880.0,75
82,M6P,2021A0011M6P - Non-movers - Counts - Total,33125.0,74
12,M1S,2021A0011M1S - Non-movers - Counts - Total,33030.0,73
28,M3H,2021A0011M3H - Non-movers - Counts - Total,32995.0,72
74,M6E,2021A0011M6E - Non-movers - Counts - Total,32910.0,71
1,M1C,2021A0011M1C - Non-movers - Counts - Total,32690.0,70
40,M4J,2021A0011M4J - Non-movers - Counts - Total,31695.0,69
78,M6K,2021A0011M6K - Non-movers - Counts - Total,31465.0,68
7,M1L,2021A0011M1L - Non-movers - Counts - Total,31350.0,67
93,M9A,2021A0011M9A - Non-movers - Counts - Total,31220.0,66
100,M9R,2021A0011M9R - Non-movers - Counts - Total,30900.0,65
25,M3A,2021A0011M3A - Non-movers - Counts - Total,30820.0,64
13,M1T,2021A0011M1T - Non-movers - Counts - Total,30605.0,63
84,M6S,2021A0011M6S - Non-movers - Counts - Total,30465.0,62
94,M9B,2021A0011M9B - Non-movers - Counts - Total,30040.0,61
42,M4L,2021A0011M4L - Non-movers - Counts - Total,27945.0,60
11,M1R,2021A0011M1R - Non-movers - Counts - Total,27500.0,59
41,M4K,2021A0011M4K - Non-movers - Counts - Total,27360.0,58
3,M1G,2021A0011M1G - Non-movers - Counts - Total,27215.0,57
21,M2M,2021A0011M2M - Non-movers - Counts - Total,26690.0,56
77,M6J,2021A0011M6J - Non-movers - Counts - Total,25350.0,55
72,M6B,2021A0011M6B - Non-movers - Counts - Total,25280.0,54
75,M6G,2021A0011M6G - Non-movers - Counts - Total,25170.0,53
52,M4Y,2021A0011M4Y - Non-movers - Counts - Total,24135.0,52
98,M9N,2021A0011M9N - Non-movers - Counts - Total,23870.0,51
62,M5M,2021A0011M5M - Non-movers - Counts - Total,23500.0,50
47,M4S,2021A0011M4S - Non-movers - Counts - Total,23100.0,49
29,M3J,2021A0011M3J - Non-movers - Counts - Total,22935.0,48
32,M3M,2021A0011M3M - Non-movers - Counts - Total,22865.0,47
37,M4E,2021A0011M4E - Non-movers - Counts - Total,22775.0,46
97,M9M,2021A0011M9M - Non-movers - Counts - Total,22125.0,45
73,M6C,2021A0011M6C - Non-movers - Counts - Total,21450.0,44
17,M2H,2021A0011M2H - Non-movers - Counts - Total,20890.0,43
8,M1M,2021A0011M1M - Non-movers - Counts - Total,20765.0,42
