postal_code,Number of Children in Each Neighbor,Children Score,Number of Single Parents,Single Parents Score,Value of After-tax Income,After-tax Income Score,Number of Bachlors Degreess,Education Score,Number of Non-movers,Non-movers Score,Total Score
M5V,5705,29,1340,45,54000,92,39245,95,37820,84,80
M2N,17785,93,3355,90,36400,47,39350,96,59225,95,78
M6S,10095,64,1500,50,49200,83,15230,85,30465,62,77
M6P,9180,61,1660,56,42800,71,18145,91,33125,74,76
M8V,8915,58,2120,73,40800,64,17070,89,36260,78,74
M5A,8745,57,2395,79,39200,58,21690,93,36815,80,73
M2J,17845,94,3295,89,33200,35,24985,94,51585,93,73
M4C,13715,83,2460,80,36400,47,15735,87,40330,87,72
M5M,9265,62,855,29,52400,88,12470,72,23500,50,72
M9A,10185,67,1825,62,41200,65,14425,83,31220,66,72
M4S,6360,38,1055,34,47600,80,16940,88,23100,49,71
M4L,9330,63,1515,51,45200,77,12225,69,27945,60,69
M6H,10100,65,1980,66,36400,47,15515,86,36890,81,68
M3H,12305,79,1995,68,36800,48,13965,80,32995,72,67
M9B,10625,69,1555,53,42000,68,12120,68,30040,61,67
M9C,11760,75,2185,74,39200,58,11905,67,34455,76,66
M6K,6745,40,1710,59,38800,52,17215,90,31465,68,65
M4J,10620,68,1795,61,39200,58,12370,71,31695,69,65
M4E,7635,49,1080,36,48800,82,11150,64,22775,46,65
M1C,12380,80,1595,54,39600,59,11150,64,32690,70,65
M5R,3865,18,735,23,46400,79,14920,84,20080,38,65
M6J,5910,33,1295,43,41600,67,14095,81,25350,55,64
M1B,24745,96,4590,96,31600,19,14160,82,59145,94,64
M4K,8080,53,1430,47,40400,61,12900,73,27360,58,63
M6G,7135,45,1315,44,39200,58,13140,76,25170,53,61
M4Y,2845,12,780,26,39200,58,20815,92,24135,52,61
M1E,16850,92,3520,92,32800,33,11120,62,42740,89,61
M3C,12510,81,2340,76,32800,33,12370,71,34455,76,60
M4G,6180,36,705,22,54000,92,9715,52,17440,30,60
M4V,3635,16,635,18,52800,89,10760,61,15910,23,58
M4P,4505,21,1030,31,42400,69,13115,74,18420,33,58
M5J,1775,5,365,8,54000,92,11410,65,11065,14,58
M2R,12060,77,2535,82,31400,16,13725,79,35515,77,57
M5P,4715,24,695,21,48800,82,10595,58,17140,29,57
M1W,14840,88,2910,85,29600,8,13180,77,42150,88,56
M4M,5915,34,1190,39,43600,72,10395,56,20615,40,56
M3A,11750,74,2525,81,34400,40,10585,57,30820,64,56
M2K,5745,30,1125,37,38400,51,13120,75,19930,37,54
M1P,14360,86,2690,83,31200,15,11585,66,39075,86,54
M6C,6840,42,1070,35,40800,64,10060,54,21450,44,54
M4N,4765,25,485,12,54400,93,8035,40,13200,19,53
M1K,16450,90,3510,91,31000,13,10665,59,43200,90,52
M4W,2950,14,450,11,52000,87,9360,46,12025,17,51
M6R,4960,26,665,20,46400,79,9135,45,16365,25,51
M6E,11020,71,2390,78,34000,39,8710,44,32910,71,51
M2M,8375,55,1610,55,31600,19,13715,78,26690,56,51
M9W,13995,85,2915,86,32400,31,8315,41,37165,82,50
M8Y,5870,32,1000,30,42800,71,8435,42,19250,34,49
M1L,12145,78,2035,70,32000,28,9660,50,31350,67,49
M1V,16525,91,3015,88,27400,2,10700,60,45655,91,49
M5E,1145,3,230,3,56800,96,8005,39,7975,7,49
M9V,20320,95,3925,94,29400,6,9715,52,48560,92,48
M9R,11970,76,2390,78,33600,37,7610,37,30900,65,48
M6B,9135,60,1525,52,35200,43,8685,43,25280,54,47
M6N,12750,82,2905,84,32000,28,7190,34,36510,79,46
M5N,5350,27,595,16,44400,74,7380,36,14285,22,46
M8Z,5385,28,820,28,45200,77,6870,30,16305,24,45
M8X,2880,13,355,7,56800,96,5475,18,9360,9,43
M1S,11025,72,2075,71,29400,6,10320,55,33030,73,43
M1J,13905,84,2935,87,31200,15,7690,38,33880,75,43
M8W,6310,37,1210,40,40800,64,6660,26,19805,36,43
M4T,2370,9,315,4,56400,94,5880,20,8905,8,42
M1N,6680,39,1220,41,39200,58,6805,29,20090,39,42
M4R,3365,15,410,9,49600,84,6335,24,10215,11,42
M1T,10835,70,2230,75,29800,10,9635,49,30605,63,41
M6M,14670,87,3840,93,31800,22,5825,19,38100,85,41
M1R,10170,66,1890,64,32000,28,7100,32,27500,59,40
M2H,6950,43,1385,46,32000,28,9520,48,20890,43,40
M3B,4095,19,520,13,44800,75,6135,21,11485,16,39
M5S,1985,7,445,10,38400,51,9500,47,10640,13,37
M1M,7710,51,1285,42,34000,39,6700,27,20765,42,37
M5B,1845,6,540,15,35200,43,9925,53,11185,15,37
M6A,7430,47,1710,59,33600,37,6430,25,19415,35,35
M9P,6760,41,1460,49,37600,49,5210,16,18400,32,35
M2L,3855,17,615,17,41600,67,5250,17,10050,10,34
M9N,8515,56,2120,73,33200,35,4015,12,23870,51,34
M1H,7600,48,1440,48,31800,22,6895,31,20625,41,32
M5H,280,1,45,1,52000,87,2270,4,1775,2,32
M2P,2370,9,335,6,44400,74,3810,9,6670,6,31
M1G,11120,73,1955,65,29200,4,6770,28,27215,57,31
M9M,8985,59,1990,67,32000,28,4210,13,22125,45,31
M3M,8345,54,2035,70,32400,31,3975,11,22865,47,31
M3N,16410,89,4520,95,28400,3,3855,10,37410,83,31
M5C,355,2,95,2,51600,85,1770,1,2310,3,31
M5G,1315,4,325,5,40000,60,6220,22,5950,4,30
M4B,5795,31,1185,38,35200,43,4395,15,16455,26,29
M3J,7940,52,1890,64,30600,12,6315,23,22935,48,28
M4X,4585,23,1035,32,31600,19,7175,33,16960,28,26
M6L,7100,44,1705,57,31800,22,3120,6,18400,32,22
M5T,2780,11,800,27,29800,10,7275,35,13730,20,21
M1X,5985,35,650,19,32000,28,3145,7,13930,21,21
M4A,4535,22,1040,33,32400,31,3545,8,12875,18,20
M3K,2490,10,540,15,35600,44,1965,3,6595,5,19
M3L,7175,46,1760,60,30600,12,2380,5,17730,31,19
M4H,7705,50,740,24,27000,1,4280,14,16785,27,17
M9L,4235,20,780,26,29600,8,1960,2,10520,12,9
