postal_code,Number of Children in Each Neighbor,Children Score,Number of Single Parents,Single Parents Score,Value of After-tax Income,After-tax Income Score,Number of Bachlors Degreess,Education Score,Number of Movers,Movers Score,Total Score,Latitude,Longitude
M5V,5705,-0.7,1340,-0.13,54000,1.55,39245,1.68,21160,1.72,1.97,,
M2N,17785,1.61,3355,1.49,36400,-0.08,39350,1.71,14470,1.68,1.73,,
M6P,9180,0.45,1660,0.27,42800,0.79,18145,1.53,5835,1.31,1.68,,
M6S,10095,0.56,1500,0.05,49200,1.22,15230,1.32,3190,0.24,1.62,,
M4S,6360,-0.38,1055,-0.53,47600,1.12,16940,1.42,6900,1.5,1.56,,
M8V,8915,0.34,2120,0.88,40800,0.54,17070,1.46,6885,1.46,1.56,,
M5A,8745,0.31,2395,1.1,39200,0.32,21690,1.6,10250,1.61,1.56,,
M2J,17845,1.64,3295,1.46,33200,-0.52,24985,1.64,9095,1.57,1.44,,
M9A,10185,0.67,1825,0.48,41200,0.57,14425,1.24,4525,0.94,1.38,,
M4C,13715,1.25,2460,1.13,36400,-0.08,15735,1.39,5220,1.2,1.32,,
M5M,9265,0.49,855,-0.71,52400,1.41,12470,0.85,1985,-0.84,1.2,,
M4L,9330,0.52,1515,0.09,45200,1.01,12225,0.74,3870,0.5,1.2,,
M5R,3865,-1.1,735,-0.92,46400,1.08,14920,1.28,4780,1.05,1.2,,
M6H,10100,0.6,1980,0.63,36400,-0.08,15515,1.35,5840,1.35,1.14,,
M3H,12305,1.1,1995,0.7,36800,-0.04,13965,1.13,4830,1.09,1.14,,
M6K,6745,-0.31,1710,0.38,38800,0.1,17215,1.5,8955,1.53,1.14,,
M6J,5910,-0.56,1295,-0.2,41600,0.64,14095,1.17,5950,1.39,1.08,,
M9B,10625,0.74,1555,0.16,42000,0.68,12120,0.7,2880,-0.17,0.96,,
M4Y,2845,-1.32,780,-0.81,39200,0.32,20815,1.57,10910,1.65,0.96,,
M9C,11760,0.96,2185,0.92,39200,0.32,11905,0.67,3215,0.28,0.9,,
M5J,1775,-1.57,365,-1.46,54000,1.55,11410,0.59,5150,1.16,0.9,,
M4P,4505,-0.99,1030,-0.63,42400,0.72,13115,0.92,6030,1.42,0.84,,
M4E,7635,0.02,1080,-0.45,48800,1.19,11150,0.56,2330,-0.65,0.84,,
M4J,10620,0.7,1795,0.45,39200,0.32,12370,0.81,2895,-0.09,0.84,,
M1B,24745,1.71,4590,1.71,31600,-1.1,14160,1.21,5625,1.24,0.84,,
M6G,7135,-0.13,1315,-0.16,39200,0.32,13140,0.99,4330,0.72,0.84,,
M4K,8080,0.16,1430,-0.06,40400,0.43,12900,0.88,2990,-0.02,0.79,,
M1C,12380,1.14,1595,0.2,39600,0.35,11150,0.56,2535,-0.47,0.73,,
